subject;set;nBlocksTotal;age;sex;handedness;visionImpairment;block;trial;nObjects;nTargets;o1marked;o2marked;o3marked;o4marked;o5marked;o6marked;o7marked;o8marked;sumCorrect;fps;monitorScalingFa
3;1;5;15;m;d;n;0;0;8;4;1.0;0.0;1.0;0.0;1.0;0.0;1.0;0.0;2.0;60;1.0
3;1;5;15;m;d;n;0;1;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
3;1;5;15;m;d;n;0;2;8;4;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;3.0;60;1.0
3;1;5;15;m;d;n;0;3;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
3;1;5;15;m;d;n;0;4;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
3;1;5;15;m;d;n;0;5;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
3;1;5;15;m;d;n;0;6;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
3;1;5;15;m;d;n;0;7;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
3;1;5;15;m;d;n;0;8;8;4;1.0;0.0;1.0;1.0;0.0;0.0;1.0;0.0;3.0;60;1.0
3;1;5;15;m;d;n;0;9;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
3;1;5;15;m;d;n;1;0;8;4;1.0;0.0;1.0;1.0;0.0;0.0;0.0;1.0;3.0;60;1.0
3;1;5;15;m;d;n;1;1;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
3;1;5;15;m;d;n;1;2;8;4;1.0;1.0;1.0;0.0;0.0;0.0;1.0;0.0;3.0;60;1.0
3;1;5;15;m;d;n;1;3;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
3;1;5;15;m;d;n;1;4;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
3;1;5;15;m;d;n;1;5;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
3;1;5;15;m;d;n;1;6;8;4;0.0;1.0;1.0;1.0;0.0;1.0;0.0;0.0;3.0;60;1.0
3;1;5;15;m;d;n;1;7;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
3;1;5;15;m;d;n;1;8;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
3;1;5;15;m;d;n;1;9;8;4;1.0;0.0;1.0;1.0;1.0;0.0;0.0;0.0;3.0;60;1.0
3;1;5;15;m;d;n;2;0;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
3;1;5;15;m;d;n;2;1;8;4;1.0;1.0;1.0;1.0;0.0;0.0;0.0;0.0;4.0;60;1.0
3;1;5;15;m;d;n;2;2;8;4;0.0;1.0;1.0;1.0;1.0;0.0;0.0;0.0;3.0;60;1.0
